SYMBOL,ENSEMBL,ENTREZID
ACR,ENSG00000100312,49
ACRBP,ENSG00000111644,84519
ACRV1,ENSG00000134940,56
ACSBG1,ENSG00000103740,23205
ACSBG2,ENSG00000130377,81616
ACSF2,ENSG00000167107,80221
ACSF3,ENSG00000176715,197322
ACSL1,ENSG00000151726,2180
ACSL3,ENSG00000123983,2181
ACSL4,ENSG00000068366,2182
ACSL5,ENSG00000197142,51703
ACSL6,ENSG00000164398,23305
ACSM1,ENSG00000166743,116285
ACSM3,ENSG00000005187,6296
ACSM4,ENSG00000215009,341392
ACSM5,ENSG00000183549,54988
ACSM6,ENSG00000173124,142827
ACSS1,ENSG00000154930,84532
ACSS2,ENSG00000131069,55902
ACSS3,ENSG00000111058,79611
ACTA1,ENSG00000143632,58
ACTA2,ENSG00000107796,59
ACTA2-AS1,ENSG00000180139,100132116
ACTB,ENSG00000075624,60
ACTBL2,ENSG00000169067,345651
ACTC1,ENSG00000159251,70
ACTG1,ENSG00000184009,71
ACTG1P14,ENSG00000230581,100418910
ACTG1P15,ENSG00000259904,100418951
ACTG1P22,ENSG00000271615,100131953
ACTG1P23,ENSG00000230362,442097
ACTG2,ENSG00000163017,72
ACTL6A,ENSG00000136518,86
ACTL8,ENSG00000117148,81569
ACTMAP,ENSG00000188493,284325
ACTN1,ENSG00000072110,87
ACTN1-DT,ENSG00000259062,161159
ACTN2,ENSG00000077522,88
ACTN3,ENSG00000248746,89
ACTN4,ENSG00000130402,81
ACTR10,ENSG00000131966,55860
ACTR1A,ENSG00000138107,10121
ACTR1B,ENSG00000115073,10120
ACTR2,ENSG00000138071,10097
ACTR3,ENSG00000115091,10096
ACTR3B,ENSG00000133627,57180
ACTR3C,ENSG00000106526,653857
ACTR5,ENSG00000101442,79913
ACTR6,ENSG00000075089,64431
ACTR8,ENSG00000113812,93973
ACTRT3,ENSG00000184378,84517
ACVR1,ENSG00000115170,90
ACVR1B,ENSG00000135503,91
ACVR1C,ENSG00000123612,130399
ACVR2A,ENSG00000121989,92
ACVR2B,ENSG00000114739,93
ACVR2B-AS1,ENSG00000229589,100128640
ACVRL1,ENSG00000139567,94
ACY1,ENSG00000243989,95
ACY3,ENSG00000132744,91703
ACYP1,ENSG00000119640,97
ACYP2,ENSG00000170634,98
ADA,ENSG00000196839,100
ADA2,ENSG00000093072,51816
ADAD2,ENSG00000140955,161931
ADAM10,ENSG00000137845,102
ADAM11,ENSG00000073670,4185
ADAM12,ENSG00000148848,8038
ADAM15,ENSG00000143537,8751
ADAM17,ENSG00000151694,6868
ADAM19,ENSG00000135074,8728
ADAM1B,ENSG00000226469,100420505
ADAM21,ENSG00000139985,8747
ADAM22,ENSG00000008277,53616
ADAM23,ENSG00000114948,8745
ADAM28,ENSG00000042980,10863
ADAM29,ENSG00000168594,11086
ADAM32,ENSG00000197140,203102
ADAM33,ENSG00000149451,80332
ADAM8,ENSG00000151651,101
ADAM9,ENSG00000168615,8754
ADAMDEC1,ENSG00000134028,27299
ADAMTS1,ENSG00000154734,9510
ADAMTS10,ENSG00000142303,81794
ADAMTS12,ENSG00000151388,81792
ADAMTS13,ENSG00000160323,11093
ADAMTS14,ENSG00000138316,140766
ADAMTS15,ENSG00000166106,170689
ADAMTS16,ENSG00000145536,170690
ADAMTS16-DT,ENSG00000250579,101929176
ADAMTS17,ENSG00000140470,170691
ADAMTS18,ENSG00000140873,170692
ADAMTS19,ENSG00000145808,171019
ADAMTS19-AS1,ENSG00000249421,103689846
ADAMTS2,ENSG00000087116,9509
ADAMTS20,ENSG00000173157,80070
ADAMTS3,ENSG00000156140,9508
ADAMTS4,ENSG00000158859,9507
ADAMTS5,ENSG00000154736,11096
ADAMTS6,ENSG00000049192,11174
ADAMTS7,ENSG00000136378,11173
ADAMTS7P1,ENSG00000274376,390660
ADAMTS7P3,ENSG00000261143,400406
ADAMTS7P4,ENSG00000218052,642935
ADAMTS8,ENSG00000134917,11095
ADAMTS9,ENSG00000163638,56999
ADAMTS9-AS1,ENSG00000241158,101929335
ADAMTS9-AS2,ENSG00000241684,100507098
ADAMTSL1,ENSG00000178031,92949
ADAMTSL2,ENSG00000197859,9719
ADAMTSL3,ENSG00000156218,57188
ADAMTSL4,ENSG00000143382,54507
ADAMTSL4-AS1,ENSG00000143384,574406
ADAMTSL4-AS2,ENSG00000237781,100289061
ADAMTSL5,ENSG00000185761,339366
ADAP1,ENSG00000105963,11033
ADAP2,ENSG00000184060,55803
ADAR,ENSG00000160710,103
ADARB1,ENSG00000197381,104
ADARB2,ENSG00000185736,105
ADARB2-AS1,ENSG00000205696,642394
ADAT1,ENSG00000065457,23536
ADAT2,ENSG00000189007,134637
ADAT3,ENSG00000213638,113179
ADCK1,ENSG00000063761,57143
ADCK2,ENSG00000133597,90956
ADCK5,ENSG00000173137,203054
ADCY1,ENSG00000164742,107
ADCY10,ENSG00000143199,55811
ADCY2,ENSG00000078295,108
ADCY3,ENSG00000138031,109
ADCY4,ENSG00000129467,196883
ADCY5,ENSG00000173175,111
ADCY6,ENSG00000174233,112
ADCY6-DT,ENSG00000257660,100506125
ADCY7,ENSG00000121281,113
ADCY8,ENSG00000155897,114
ADCY9,ENSG00000162104,115
ADCYAP1,ENSG00000141433,116
ADCYAP1R1,ENSG00000078549,117
ADD1,ENSG00000087274,118
ADD2,ENSG00000075340,119
ADD3,ENSG00000148700,120
ADD3-AS1,ENSG00000203876,100505933
ADGB,ENSG00000118492,79747
ADGRA2,ENSG00000020181,25960
ADGRA3,ENSG00000152990,166647
ADGRA3P1,ENSG00000256616,100996333
ADGRB1,ENSG00000181790,575
ADGRB2,ENSG00000121753,576
ADGRB3,ENSG00000135298,577
ADGRD1,ENSG00000111452,283383
ADGRD2,ENSG00000180264,347088
ADGRE1,ENSG00000174837,2015
ADGRE2,ENSG00000127507,30817
ADGRE3,ENSG00000131355,84658
ADGRE5,ENSG00000123146,976
ADGRF1,ENSG00000153292,266977
ADGRF3,ENSG00000173567,165082
ADGRF4,ENSG00000153294,221393
ADGRF5,ENSG00000069122,221395
ADGRF5P1,ENSG00000227582,389740
ADGRG1,ENSG00000205336,9289
ADGRG2,ENSG00000173698,10149
ADGRG3,ENSG00000182885,222487
ADGRG5,ENSG00000159618,221188
ADGRG6,ENSG00000112414,57211
ADGRL1,ENSG00000072071,22859
ADGRL1-AS1,ENSG00000267169,100507373
ADGRL2,ENSG00000117114,23266
ADGRL3,ENSG00000150471,23284
ADGRL4,ENSG00000162618,64123
ADGRV1,ENSG00000164199,84059
ADH1A,ENSG00000187758,124
ADH1B,ENSG00000196616,125
ADH1C,ENSG00000248144,126
ADH4,ENSG00000198099,127
ADH5,ENSG00000197894,128
ADH6,ENSG00000172955,130
ADHFE1,ENSG00000147576,137872
ADI1,ENSG00000182551,55256
ADIPOQ,ENSG00000181092,9370
ADIPOR1,ENSG00000159346,51094
ADIPOR2,ENSG00000006831,79602
ADISSP,ENSG00000101220,54976
ADK,ENSG00000156110,132
ADM,ENSG00000148926,133
ADM2,ENSG00000128165,79924
ADM5,ENSG00000224420,199800
ADNP,ENSG00000101126,23394
ADNP-AS1,ENSG00000259456,101927631
ADNP2,ENSG00000101544,22850
ADO,ENSG00000181915,84890
ADORA1,ENSG00000163485,134
ADORA2A,ENSG00000128271,135
ADORA2A-AS1,ENSG00000178803,646023
ADORA2B,ENSG00000170425,136
ADORA3,ENSG00000282608,140
ADPGK,ENSG00000159322,83440
ADPGK-AS1,ENSG00000260898,100287559
ADPRH,ENSG00000144843,141
ADPRHL1,ENSG00000153531,113622
ADPRM,ENSG00000170222,56985
ADPRS,ENSG00000116863,54936
ADRA1A,ENSG00000120907,148
ADRA1B,ENSG00000170214,147
ADRA1D,ENSG00000171873,146
ADRA2A,ENSG00000150594,150
ADRA2B,ENSG00000274286,151
ADRA2C,ENSG00000184160,152
ADRB1,ENSG00000043591,153
ADRB2,ENSG00000169252,154
ADRM1,ENSG00000130706,11047
ADSL,ENSG00000239900,158
ADSS1,ENSG00000185100,122622
ADSS2,ENSG00000035687,159
ADTRP,ENSG00000111863,84830
AEBP1,ENSG00000106624,165
AEBP2,ENSG00000139154,121536
AEN,ENSG00000181026,64782
AFAP1,ENSG00000196526,60312
AFAP1-AS1,ENSG00000272620,84740
AFAP1L1,ENSG00000157510,134265
AFAP1L2,ENSG00000169129,84632
AFDN,ENSG00000130396,4301
AFF1,ENSG00000172493,4299
AFF2,ENSG00000155966,2334
AFF3,ENSG00000144218,3899
AFF4,ENSG00000072364,27125
AFG1L,ENSG00000135537,246269
AFG2A,ENSG00000145375,166378
AFG2B,ENSG00000171763,79029
AFG3L2,ENSG00000141385,10939
AFMID,ENSG00000183077,125061
AFP,ENSG00000081051,174
AFTPH,ENSG00000119844,54812
AFTPH-DT,ENSG00000260101,101927402
AGA,ENSG00000038002,175
AGA-DT,ENSG00000250131,285500
AGAP1,ENSG00000157985,116987
AGAP1-IT1,ENSG00000235529,100506749
AGAP11,ENSG00000271880,119385
AGAP2,ENSG00000135439,116986
AGAP2-AS1,ENSG00000255737,100130776
AGAP3,ENSG00000133612,116988
AGAP4,ENSG00000188234,119016
AGAP6,ENSG00000204149,414189
AGAP9,ENSG00000204172,642517
AGBL2,ENSG00000165923,79841
AGBL3,ENSG00000146856,340351
AGBL4,ENSG00000186094,84871
AGBL5,ENSG00000084693,60509
AGER,ENSG00000204305,177
AGFG1,ENSG00000173744,3267
AGFG2,ENSG00000106351,3268
AGGF1,ENSG00000164252,55109
AGK,ENSG00000006530,55750
AGL,ENSG00000162688,178
AGMAT,ENSG00000116771,79814
AGMO,ENSG00000187546,392636
AGO1,ENSG00000092847,26523
AGO2,ENSG00000123908,27161
AGO3,ENSG00000126070,192669
AGO4,ENSG00000134698,192670
AGPAT1,ENSG00000204310,10554
AGPAT2,ENSG00000169692,10555
AGPAT3,ENSG00000160216,56894
AGPAT4,ENSG00000026652,56895
AGPAT5,ENSG00000155189,55326
AGPS,ENSG00000018510,8540
AGR2,ENSG00000106541,10551
AGR3,ENSG00000173467,155465
AGRN,ENSG00000188157,375790
AGT,ENSG00000135744,183
AGTPBP1,ENSG00000135049,23287
AGTR1,ENSG00000144891,185
AGTRAP,ENSG00000177674,57085
AGXT,ENSG00000172482,189
AGXT2,ENSG00000113492,64902
AHCTF1,ENSG00000153207,25909
AHCY,ENSG00000101444,191
AHCYL1,ENSG00000168710,10768
AHCYL2,ENSG00000158467,23382
AHDC1,ENSG00000126705,27245
AHI1,ENSG00000135541,54806
AHI1-DT,ENSG00000231028,100131814
AHNAK,ENSG00000124942,79026
AHNAK2,ENSG00000185567,113146
AHR,ENSG00000106546,196
AHRR,ENSG00000063438,57491
AHSA1,ENSG00000100591,10598
AICDA,ENSG00000111732,57379
AIDA,ENSG00000186063,64853
AIDAP2,ENSG00000251429,646890
AIF1,ENSG00000204472,199
AIF1L,ENSG00000126878,83543
AIFM1,ENSG00000156709,9131
AIFM2,ENSG00000042286,84883
AIFM3,ENSG00000183773,150209
AIG1,ENSG00000146416,51390
AIM2,ENSG00000163568,9447
AIMP1,ENSG00000164022,9255
AIMP2,ENSG00000106305,7965
AIP,ENSG00000110711,9049
AIRIM,ENSG00000116922,54955
AJAP1,ENSG00000196581,55966
AJM1,ENSG00000232434,389813
AJUBA,ENSG00000129474,84962
AK1,ENSG00000106992,203
AK2,ENSG00000004455,204
AK2P1,ENSG00000185839,266920
AK3,ENSG00000147853,50808
AK3P3,ENSG00000230042,100419075
AK4,ENSG00000162433,205
AK5,ENSG00000154027,26289
AK6,ENSG00000085231,102157402
AK7,ENSG00000140057,122481
AK8,ENSG00000165695,158067
AK9,ENSG00000155085,221264
AKAP1,ENSG00000121057,8165
AKAP1-DT,ENSG00000263004,119139901
AKAP10,ENSG00000108599,11216
AKAP11,ENSG00000023516,11215
AKAP12,ENSG00000131016,9590
AKAP13,ENSG00000170776,11214
AKAP14,ENSG00000186471,158798
AKAP17A,ENSG00000197976,8227
AKAP3,ENSG00000111254,10566
AKAP5,ENSG00000179841,9495
AKAP6,ENSG00000151320,9472
AKAP7,ENSG00000118507,9465
AKAP8,ENSG00000105127,10270
AKAP8L,ENSG00000011243,26993
AKAP9,ENSG00000127914,10142
AKIP1,ENSG00000166452,56672
AKIRIN1,ENSG00000174574,79647
AKIRIN2,ENSG00000135334,55122
AKNA,ENSG00000106948,80709
AKNAD1,ENSG00000162641,254268
AKR1A1,ENSG00000117448,10327
AKR1B1,ENSG00000085662,231
AKR1B10,ENSG00000198074,57016
AKR1B15,ENSG00000227471,441282
AKR1C1,ENSG00000187134,1645
AKR1C2,ENSG00000151632,1646
AKR1C3,ENSG00000196139,8644
AKR1C7P,ENSG00000215267,648947
AKR1D1,ENSG00000122787,6718
AKR1E2,ENSG00000165568,83592
AKR7A2,ENSG00000053371,8574
AKR7A3,ENSG00000162482,22977
AKR7L,ENSG00000211454,246181
AKT1,ENSG00000142208,207
AKT1S1,ENSG00000204673,84335
AKT2,ENSG00000105221,208
AKT3,ENSG00000117020,10000
AKTIP,ENSG00000166971,64400
ALAD,ENSG00000148218,210
ALAS1,ENSG00000023330,211
ALB,ENSG00000163631,213
ALCAM,ENSG00000170017,214
ALDH16A1,ENSG00000161618,126133
ALDH18A1,ENSG00000059573,5832
ALDH1A1,ENSG00000165092,216
ALDH1A2,ENSG00000128918,8854
ALDH1A3,ENSG00000184254,220
ALDH1A3-AS1,ENSG00000259583,101927751
ALDH1B1,ENSG00000137124,219
ALDH1L1,ENSG00000144908,10840
ALDH1L1-AS1,ENSG00000250012,100874204
ALDH1L1-AS2,ENSG00000246022,100862662
ALDH1L2,ENSG00000136010,160428
ALDH2,ENSG00000111275,217
ALDH3A1,ENSG00000108602,218
ALDH3A2,ENSG00000072210,224
ALDH3B1,ENSG00000006534,221
ALDH3B2,ENSG00000132746,222
ALDH4A1,ENSG00000159423,8659
ALDH5A1,ENSG00000112294,7915
ALDH6A1,ENSG00000119711,4329
ALDH7A1,ENSG00000164904,501
ALDH7A1P1,ENSG00000251400,541
ALDH8A1,ENSG00000118514,64577
ALDH9A1,ENSG00000143149,223
ALDOA,ENSG00000149925,226
ALDOB,ENSG00000136872,229
ALDOC,ENSG00000109107,230
ALG1,ENSG00000033011,56052
ALG10,ENSG00000139133,84920
ALG10B,ENSG00000175548,144245
ALG11,ENSG00000253710,440138
ALG12,ENSG00000182858,79087
ALG13,ENSG00000101901,79868
ALG14,ENSG00000172339,199857
ALG14-AS1,ENSG00000235501,101928098
ALG1L10P,ENSG00000254016,106479037
ALG1L2,ENSG00000251287,644974
ALG1L3P,ENSG00000251087,100132066
ALG1L8P,ENSG00000227620,645015
ALG2,ENSG00000119523,85365
ALG3,ENSG00000214160,10195
ALG5,ENSG00000120697,29880
ALG6,ENSG00000088035,29929
ALG8,ENSG00000159063,79053
ALG9,ENSG00000086848,79796
ALK,ENSG00000171094,238
ALKAL2,ENSG00000189292,285016
ALKBH1,ENSG00000100601,8846
ALKBH2,ENSG00000189046,121642
ALKBH3,ENSG00000166199,221120
ALKBH3-AS1,ENSG00000244926,100507300
ALKBH4,ENSG00000160993,54784
ALKBH5,ENSG00000091542,54890
ALKBH6,ENSG00000239382,84964
ALKBH7,ENSG00000125652,84266
ALKBH8,ENSG00000137760,91801
ALMS1,ENSG00000116127,7840
ALMS1-IT1,ENSG00000230002,100874291
ALOX12,ENSG00000108839,239
ALOX12-AS1,ENSG00000267532,100506713
ALOX12B,ENSG00000179477,242
ALOX15,ENSG00000161905,246
ALOX15B,ENSG00000179593,247
ALOX5,ENSG00000012779,240
ALOX5AP,ENSG00000132965,241
ALOXE3,ENSG00000179148,59344
ALPK1,ENSG00000073331,80216
ALPK2,ENSG00000198796,115701
ALPK3,ENSG00000136383,57538
ALPL,ENSG00000162551,249
ALS2,ENSG00000003393,57679
ALS2CL,ENSG00000178038,259173
ALX1,ENSG00000180318,8092
ALX3,ENSG00000156150,257
ALX4,ENSG00000052850,60529
ALYREF,ENSG00000183684,10189
AMACR,ENSG00000242110,23600
AMBP,ENSG00000106927,259
AMBRA1,ENSG00000110497,55626
AMD1,ENSG00000123505,262
AMDHD1,ENSG00000139344,144193
AMDHD2,ENSG00000162066,51005
AMER1,ENSG00000184675,139285
AMER2,ENSG00000165566,219287
AMFR,ENSG00000159461,267
AMH,ENSG00000104899,268
AMHR2,ENSG00000135409,269
AMIGO1,ENSG00000181754,57463
AMIGO2,ENSG00000139211,347902
AMMECR1,ENSG00000101935,9949
AMMECR1L,ENSG00000144233,83607
AMN,ENSG00000166126,81693
AMN1,ENSG00000151743,196394
AMOT,ENSG00000126016,154796
AMOTL1,ENSG00000166025,154810
AMOTL2,ENSG00000114019,51421
AMPD1,ENSG00000116748,270
AMPD2,ENSG00000116337,271
AMPD3,ENSG00000133805,272
AMPH,ENSG00000078053,273
AMT,ENSG00000145020,275
AMTN,ENSG00000187689,401138
AMY2B,ENSG00000240038,280
AMZ1,ENSG00000174945,155185
AMZ2,ENSG00000196704,51321
ANAPC1,ENSG00000153107,64682
ANAPC10,ENSG00000164162,10393
ANAPC11,ENSG00000141552,51529
ANAPC13,ENSG00000129055,25847
ANAPC15,ENSG00000110200,25906
ANAPC16,ENSG00000166295,119504
ANAPC2,ENSG00000176248,29882
ANAPC4,ENSG00000053900,29945
ANAPC5,ENSG00000089053,51433
ANAPC7,ENSG00000196510,51434
ANG,ENSG00000214274,283
ANGEL1,ENSG00000013523,23357
ANGEL2,ENSG00000174606,90806
ANGPT1,ENSG00000154188,284
ANGPT2,ENSG00000091879,285
ANGPT4,ENSG00000101280,51378
ANGPTL1,ENSG00000116194,9068
ANGPTL2,ENSG00000136859,23452
ANGPTL3,ENSG00000132855,27329
ANGPTL4,ENSG00000167772,51129
ANGPTL5,ENSG00000187151,253935
ANGPTL6,ENSG00000130812,83854
ANGPTL7,ENSG00000171819,10218
ANGPTL8,ENSG00000130173,55908
ANK1,ENSG00000029534,286
ANK2,ENSG00000145362,287
ANK3,ENSG00000151150,288
ANKAR,ENSG00000151687,150709
ANKDD1A,ENSG00000166839,348094
ANKDD1B,ENSG00000189045,728780
ANKEF1,ENSG00000132623,63926
ANKFN1,ENSG00000153930,162282
ANKFY1,ENSG00000185722,51479
ANKH,ENSG00000154122,56172
ANKHD1,ENSG00000131503,54882
ANKHD1-DT,ENSG00000249637,121232368
ANKHD1-EIF4EBP3,ENSG00000254996,404734
ANKIB1,ENSG00000001629,54467
ANKK1,ENSG00000170209,255239
ANKLE1,ENSG00000160117,126549
ANKLE2,ENSG00000176915,23141
ANKMY1,ENSG00000144504,51281
ANKMY2,ENSG00000106524,57037
ANKRA2,ENSG00000164331,57763
ANKRD1,ENSG00000148677,27063
ANKRD10,ENSG00000088448,55608
ANKRD11,ENSG00000167522,29123
ANKRD12,ENSG00000101745,23253
ANKRD13A,ENSG00000076513,88455
ANKRD13B,ENSG00000198720,124930
ANKRD13C,ENSG00000118454,81573
ANKRD13C-DT,ENSG00000197568,11147
ANKRD13D,ENSG00000172932,338692
ANKRD16,ENSG00000134461,54522
ANKRD17,ENSG00000132466,26057
ANKRD18A,ENSG00000180071,253650
ANKRD18B,ENSG00000230453,441459
ANKRD18EP,ENSG00000217165,100131031
ANKRD2,ENSG00000165887,26287
ANKRD22,ENSG00000152766,118932
ANKRD23,ENSG00000163126,200539
ANKRD24,ENSG00000089847,170961
ANKRD26,ENSG00000107890,22852
ANKRD27,ENSG00000105186,84079
ANKRD28,ENSG00000206560,23243
ANKRD29,ENSG00000154065,147463
ANKRD30A,ENSG00000148513,91074
ANKRD30B,ENSG00000180777,374860
ANKRD30BP1,ENSG00000175302,642460
ANKRD31,ENSG00000145700,256006
ANKRD33B,ENSG00000164236,651746
ANKRD33BP1,ENSG00000229689,100419920
ANKRD34A,ENSG00000272031,284615
ANKRD34B,ENSG00000189127,340120
ANKRD34C,ENSG00000235711,390616
ANKRD35,ENSG00000198483,148741
ANKRD36,ENSG00000135976,375248
ANKRD36B,ENSG00000196912,57730
ANKRD36C,ENSG00000174501,400986
ANKRD37,ENSG00000186352,353322
ANKRD39,ENSG00000213337,51239
ANKRD40,ENSG00000154945,91369
ANKRD42,ENSG00000137494,338699
ANKRD42-DT,ENSG00000247137,100506282
ANKRD44,ENSG00000065413,91526
ANKRD44-AS1,ENSG00000231621,101927596
ANKRD45,ENSG00000183831,339416
ANKRD46,ENSG00000186106,157567
ANKRD49,ENSG00000168876,54851
ANKRD50,ENSG00000151458,57182
ANKRD52,ENSG00000139645,283373
ANKRD53,ENSG00000144031,79998
ANKRD54,ENSG00000100124,129138
ANKRD55,ENSG00000164512,79722
ANKRD6,ENSG00000135299,22881
ANKRD61,ENSG00000157999,100310846
ANKRD62P1,ENSG00000259271,107080639
ANKRD65,ENSG00000235098,441869
ANKRD7,ENSG00000106013,56311
ANKRD9,ENSG00000156381,122416
ANKS1A,ENSG00000064999,23294
ANKS1B,ENSG00000185046,56899
ANKS3,ENSG00000168096,124401
ANKS6,ENSG00000165138,203286
ANKZF1,ENSG00000163516,55139
ANLN,ENSG00000011426,54443
ANO1,ENSG00000131620,55107
ANO10,ENSG00000160746,55129
ANO2,ENSG00000047617,57101
ANO3,ENSG00000134343,63982
ANO4,ENSG00000151572,121601
ANO5,ENSG00000171714,203859
ANO6,ENSG00000177119,196527
ANO7,ENSG00000146205,50636
ANO8,ENSG00000074855,57719
ANO9,ENSG00000185101,338440
ANOS1,ENSG00000011201,3730
